date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-02,1,-0,0.0,2.9,1,1,100,05:07 PM,08:48 AM,08:57 AM,04:21 PM,-2,-4,0,-4,23,99,84,0.6,1015,1,10,195,16
2018-01-03,2,0,0.1,2.9,1,1,89,06:22 PM,09:43 AM,08:56 AM,04:22 PM,-1,-3,1,-3,22,98,91,0.1,1016,2,10,169,14
2018-01-04,1,-1,0.1,4.8,2,2,81,07:43 PM,10:25 AM,08:56 AM,04:23 PM,-3,-5,0,-5,25,68,80,0.1,1012,1,10,159,17
2018-01-05,-0,-2,1.0,2.9,1,1,74,09:04 PM,10:58 AM,08:56 AM,04:25 PM,-3,-5,-1,-5,18,93,86,1.2,1012,-0,7,163,13
2018-01-06,2,0,1.6,2.9,1,1,67,10:23 PM,11:25 AM,08:55 AM,04:26 PM,-0,-4,1,-4,27,100,91,1.9,1011,2,8,201,19
2018-01-07,2,-3,0.2,2.9,1,1,59,11:40 PM,11:48 AM,08:55 AM,04:28 PM,-1,-3,1,-3,26,83,89,0.3,1015,2,8,255,17
2018-01-08,-1,-4,0.2,4.8,2,2,52,No moonrise,12:08 PM,08:54 AM,04:29 PM,-8,-9,-3,-9,35,60,67,0.2,1021,-1,9,274,23
2018-01-09,-2,-4,0.0,7.8,2,2,45,12:53 AM,12:28 PM,08:53 AM,04:31 PM,-9,-9,-3,-9,29,52,68,0.0,1024,-2,10,304,19
2018-01-10,-2,-4,0.0,6.8,2,2,38,02:04 AM,12:49 PM,08:53 AM,04:32 PM,-5,-6,-3,-6,10,56,89,0.0,1026,-2,7,303,6
2018-01-11,-2,-4,0.5,2.9,1,1,30,03:13 AM,01:12 PM,08:52 AM,04:34 PM,-4,-6,-3,-6,15,98,91,0.6,1024,-2,5,252,10
2018-01-12,-5,-7,0.1,2.9,1,1,23,04:19 AM,01:37 PM,08:51 AM,04:35 PM,-10,-12,-6,-12,20,96,74,0.1,1036,-5,10,48,15
2018-01-13,-6,-9,0.0,6.8,2,2,16,05:24 AM,02:07 PM,08:50 AM,04:37 PM,-11,-11,-7,-11,10,59,78,0.0,1045,-6,10,221,7
2018-01-14,-7,-9,0.0,3.0,1,1,9,06:23 AM,02:43 PM,08:49 AM,04:39 PM,-11,-10,-8,-10,6,94,81,0.1,1042,-7,10,262,4
2018-01-15,-5,-8,0.4,3.0,1,1,1,07:18 AM,03:26 PM,08:48 AM,04:40 PM,-8,-7,-6,-7,5,100,88,0.5,1038,-5,8,263,4
2018-01-16,-7,-9,0.1,4.9,1,1,0,08:06 AM,04:16 PM,08:47 AM,04:42 PM,-11,-14,-8,-14,22,83,82,0.1,1029,-7,10,139,15
2018-01-17,-5,-7,0.2,3.0,1,1,0,08:47 AM,05:14 PM,08:46 AM,04:44 PM,-9,-14,-6,-14,33,99,80,0.2,1014,-5,9,138,24
2018-01-18,-1,-7,1.0,3.0,1,1,6,09:21 AM,06:16 PM,08:45 AM,04:46 PM,-6,-10,-4,-10,26,100,89,1.1,1008,-1,7,143,18
2018-01-19,-2,-8,0.0,8.0,2,2,13,09:50 AM,07:23 PM,08:44 AM,04:48 PM,-8,-13,-6,-13,30,63,82,0.0,1012,-2,10,146,21
2018-01-20,-4,-8,1.2,3.0,1,1,20,10:14 AM,08:31 PM,08:42 AM,04:50 PM,-8,-12,-7,-12,19,100,92,1.5,1011,-4,6,132,13
2018-01-21,-2,-5,1.1,3.0,1,1,28,10:36 AM,09:41 PM,08:41 AM,04:52 PM,-4,-7,-4,-7,13,100,94,1.3,1010,-2,4,237,9
2018-01-22,-7,-12,0.1,3.0,1,1,35,10:56 AM,10:52 PM,08:40 AM,04:53 PM,-10,-15,-10,-15,16,77,93,0.1,1018,-7,6,266,10
2018-01-23,-8,-13,0.0,8.2,1,1,42,11:16 AM,No moonset,08:38 AM,04:55 PM,-12,-14,-11,-14,10,42,93,0.0,1026,-8,5,279,5
2018-01-24,-7,-11,0.0,6.8,1,1,49,11:37 AM,12:06 AM,08:37 AM,04:57 PM,-10,-13,-9,-13,13,63,94,0.0,1032,-7,5,281,7
2018-01-25,-6,-12,0.0,8.2,2,2,57,12:00 PM,01:22 AM,08:35 AM,04:59 PM,-12,-16,-10,-16,27,25,84,0.0,1032,-6,8,186,15
2018-01-26,-5,-10,0.0,8.7,2,2,64,12:28 PM,02:39 AM,08:34 AM,05:01 PM,-11,-15,-8,-15,30,63,77,0.0,1034,-5,10,195,19
2018-01-27,-6,-10,0.0,3.3,1,1,71,01:02 PM,03:58 AM,08:32 AM,05:03 PM,-9,-15,-8,-15,26,92,90,0.0,1036,-6,10,187,17
2018-01-28,-6,-9,0.3,3.3,1,1,78,01:46 PM,05:15 AM,08:31 AM,05:05 PM,-9,-14,-8,-14,23,100,92,0.4,1030,-6,9,197,16
2018-01-29,-4,-8,2.3,3.3,1,1,86,02:42 PM,06:25 AM,08:29 AM,05:07 PM,-7,-12,-6,-12,21,100,93,2.7,1013,-4,7,175,15
2018-01-30,1,-2,2.4,3.3,1,1,93,03:52 PM,07:26 AM,08:27 AM,05:09 PM,-1,-4,-0,-4,22,100,95,2.8,999,1,5,191,15
2018-01-31,-1,-8,1.8,3.3,1,1,97,05:10 PM,08:15 AM,08:26 AM,05:12 PM,-5,-9,-3,-9,24,100,92,2.1,1001,-1,6,303,16
2018-02-01,-7,-14,0.0,8.7,2,2,88,06:32 PM,08:53 AM,08:24 AM,05:14 PM,-12,-16,-11,-16,18,60,93,0.0,1017,-7,7,233,10
2018-02-02,0,-8,0.4,3.4,1,1,81,07:55 PM,09:24 AM,08:22 AM,05:16 PM,-3,-8,-2,-8,25,99,93,0.5,1013,0,8,180,17
2018-02-03,1,0,1.0,3.4,1,1,73,09:16 PM,09:49 AM,08:20 AM,05:18 PM,0,-3,1,-3,20,100,97,2.5,1008,1,5,188,14
2018-02-04,1,-11,4.9,3.4,1,1,66,10:33 PM,10:12 AM,08:19 AM,05:20 PM,-5,-10,-4,-10,26,100,94,7.9,1001,1,5,130,18
2018-02-05,-10,-15,0.7,3.4,1,1,58,11:47 PM,10:32 AM,08:17 AM,05:22 PM,-13,-19,-12,-19,25,99,90,0.9,1010,-10,7,298,17
2018-02-06,-10,-18,0.2,3.4,1,1,51,No moonrise,10:53 AM,08:15 AM,05:24 PM,-15,-21,-14,-21,21,97,95,0.2,1023,-10,6,190,12
2018-02-07,-7,-16,0.0,5.2,1,1,43,12:59 AM,11:16 AM,08:13 AM,05:26 PM,-13,-19,-12,-19,24,70,93,0.0,1032,-7,7,183,13
2018-02-08,-6,-14,0.0,3.4,1,1,36,02:07 AM,11:40 AM,08:11 AM,05:28 PM,-11,-16,-10,-16,22,69,90,0.0,1032,-6,10,141,13
2018-02-09,-3,-6,0.2,3.5,1,1,28,03:13 AM,12:08 PM,08:09 AM,05:30 PM,-6,-11,-5,-11,25,100,91,0.2,1025,-3,10,116,16
2018-02-10,-4,-6,0.3,3.5,1,1,20,04:15 AM,12:42 PM,08:07 AM,05:32 PM,-6,-11,-5,-11,22,100,93,0.3,1022,-4,9,126,15
2018-02-11,-2,-5,0.4,3.5,1,1,13,05:12 AM,01:23 PM,08:05 AM,05:34 PM,-5,-9,-4,-9,21,100,94,0.5,1020,-2,7,135,14
2018-02-12,-4,-12,0.1,8.7,2,2,5,06:02 AM,02:10 PM,08:03 AM,05:36 PM,-9,-13,-7,-13,19,42,90,0.1,1021,-4,9,125,12
2018-02-13,-7,-13,0.0,3.5,1,1,0,06:46 AM,03:05 PM,08:01 AM,05:38 PM,-11,-16,-11,-16,20,84,94,0.0,1025,-7,6,107,11
2018-02-14,-7,-13,0.2,3.7,1,1,0,07:22 AM,04:06 PM,07:59 AM,05:41 PM,-11,-17,-10,-17,21,100,94,0.3,1029,-7,7,107,14
2018-02-15,-6,-11,0.1,3.7,1,1,0,07:53 AM,05:12 PM,07:57 AM,05:43 PM,-9,-13,-8,-13,14,100,94,0.1,1034,-6,6,117,9
